lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01001431,8,3,10,9
E01021544,4,8,9,9
E01018211,2,9,5,6
E01002049,10,1,10,10
E01001562,5,5,10,8
E01000999,10,1,10,10
E01023748,2,9,6,7
E01002976,7,5,7,6
E01001991,10,1,8,8
E01031587,3,9,6,7
E01022052,2,9,9,9
E01002957,7,3,4,3
E01024327,3,6,4,1
E01024209,2,10,6,8
E01003815,10,1,5,8
E01004511,9,2,10,10
E01023759,5,5,4,1
E01023590,7,7,7,7
E01021706,7,4,8,6
E01000039,6,4,6,2
E01030731,6,5,8,5
E01030063,1,10,5,7
E01001286,8,3,9,8
E01018306,1,10,4,6
E01004577,10,1,10,10
E01021816,4,8,6,6
E01015808,4,7,6,4
E01024619,3,8,6,5
E01023583,3,9,7,7
E01001167,8,2,8,6
E01003648,8,2,9,8
E01021875,1,10,5,8
E01000086,10,1,9,9
E01001002,9,1,10,9
E01033119,2,9,4,5
E01001669,8,4,7,7
E01024390,4,5,7,3
E01003163,8,3,10,10
E01024111,3,8,3,3
E01021498,8,2,8,6
E01021970,8,3,9,9
E01023972,3,3,7,2
E01021444,2,10,3,6
E01000732,6,6,5,3
E01000750,4,4,4,1
E01031723,2,9,3,4
E01024816,5,8,4,5
E01003484,6,1,9,6
E01018005,9,1,5,6
E01002112,6,5,5,3
E01000091,5,5,10,9
E01003631,8,2,10,9
E01000586,10,1,10,10
E01000753,5,5,4,1
E01021762,10,1,4,9
E01000754,6,3,5,2
E01001625,7,3,9,8
E01033728,9,2,10,10
E01024263,6,3,7,4
E01004687,10,1,10,10
E01002901,9,1,10,10
E01021830,5,6,6,3
E01024338,3,8,5,4
E01030021,3,8,8,7
E01004377,7,3,9,7
E01002637,4,5,9,6
E01030552,8,1,4,3
E01000073,7,2,8,6
E01021981,4,7,3,2
E01017011,4,7,5,3
E01023295,7,6,6,5
E01001111,10,1,9,10
E01024255,4,10,6,9
E01021277,3,9,7,7
E01024565,2,10,3,7
E01003712,8,4,8,7
E01017389,4,9,5,6
E01003773,10,1,9,9
E01030380,5,5,3,1
E01023835,3,9,5,6
E01002053,9,2,10,10
E01000787,6,4,5,2
E01000226,9,3,9,8
E01021530,5,5,5,2
E01032772,10,1,10,10
E01031636,9,3,3,6
E01024724,2,9,3,5
E01023818,2,6,4,1
E01015703,10,1,7,8
E01004566,10,3,10,10
E01003013,9,1,10,10
E01016850,10,1,8,10
E01004427,9,3,9,9
E01023903,8,4,5,5
E01024578,4,7,8,6
E01001041,10,1,7,8
E01000373,6,4,10,9
E01004350,9,3,5,6
E01029939,5,8,6,6
E01002427,5,6,9,7
E01000580,10,1,10,10
E01002969,9,2,9,9
E01033313,3,8,4,4
E01021953,2,7,7,4
E01001062,8,4,4,4
E01003332,8,4,8,7
E01030129,4,6,7,5
E01024726,2,6,6,2
E01030446,2,10,2,5
E01021699,3,5,6,2
E01030190,4,9,5,6
E01000582,10,1,10,10
E01030740,6,5,8,7
E01004457,10,1,10,10
E01002805,10,1,10,10
E01030813,2,9,5,6
E01021644,1,10,4,7
E01033115,4,8,4,4
E01003318,10,1,9,10
E01018132,3,6,4,1
E01033100,10,4,10,10
E01015814,7,2,6,3
E01021822,3,3,6,1
E01001307,9,2,8,8
E01004050,8,2,10,9
E01004036,10,1,10,10
E01016959,7,6,5,4
E01002665,7,4,8,7
E01021563,6,3,8,6
E01003086,9,2,9,8
E01024202,2,9,7,8
E01001648,6,5,8,5
E01016950,10,1,9,10
E01024364,1,9,5,7
E01000996,9,2,10,9
E01023390,8,3,4,3
E01004088,4,3,5,1
E01002992,8,4,9,8
E01015840,10,3,9,10
E01003237,9,1,7,7
E01021174,4,7,3,2
E01021908,1,9,7,6
E01001057,6,5,4,2
E01000541,9,1,9,9
E01030656,5,5,5,2
E01023789,3,7,4,2
E01024012,3,10,2,6
E01021385,3,7,6,4
E01022037,7,5,7,6
E01004615,9,1,9,9
E01021793,2,6,4,1
E01000196,9,1,8,8
E01000048,9,1,10,10
E01021029,3,8,5,4
E01001055,4,5,5,1
E01002398,7,3,9,7
E01004654,10,1,10,10
E01030556,2,9,3,5
E01002755,9,1,10,10
E01033740,8,2,10,9
E01004652,10,1,10,10
E01021571,2,9,4,6
E01031678,2,8,3,3
E01033613,4,6,10,9
E01024055,5,9,5,7
E01001453,8,3,7,5
E01031373,6,7,7,7
E01021221,10,6,3,8
E01001250,10,1,10,10
E01030253,2,9,8,7
E01000631,9,2,9,9
E01024534,2,5,4,1
E01001687,7,3,10,9
E01017009,4,5,4,1
E01002712,10,1,10,10
E01002249,9,1,7,6
E01018242,3,8,6,4
E01018172,8,5,4,5
E01023465,4,10,6,8
E01031734,5,8,2,5
E01024842,5,6,2,1
E01030173,2,9,5,5
E01021319,8,2,8,6
E01002321,9,1,8,7
E01004055,7,5,10,10
E01031667,4,8,5,4
E01015764,6,4,6,3
E01023765,7,4,4,2
E01000324,9,2,8,7
E01023810,5,7,4,4
E01003554,10,1,10,10
E01004123,7,1,7,4
E01001785,10,1,9,9
E01002111,7,2,7,5
E01003142,10,2,9,10
E01024834,8,4,4,4
E01003334,10,1,8,10
E01033146,8,3,9,8
E01030521,2,7,3,2
E01000444,5,6,5,3
E01000109,9,2,9,9
E01004274,8,2,10,10
E01004217,9,5,10,10
E01000848,10,1,9,9
E01001557,9,2,10,10
E01021511,4,6,6,3
E01002551,5,5,9,7
E01016954,10,1,9,10
E01030218,2,10,9,9
E01030186,2,9,4,5
E01000891,10,1,9,10
E01017548,2,9,8,8
E01004451,9,3,9,9
E01024630,7,7,5,6
E01031752,4,3,4,1
E01024248,8,7,5,6
E01001434,8,5,8,8
E01000434,3,6,10,9
E01032740,10,1,10,10
E01003262,9,4,9,9
E01001264,7,4,9,8
E01000210,8,1,9,7
E01001993,9,2,8,8
E01015870,7,4,9,8
E01017488,7,3,6,3
E01000547,10,1,10,10
E01024807,1,9,2,4
E01002228,5,5,6,3
E01021205,2,10,3,7
E01003698,8,2,7,5
E01003433,9,1,7,6
E01023938,5,8,5,5
E01000740,10,2,7,9
E01000823,9,3,5,5
E01021923,2,7,9,6
E01004670,9,1,10,10
E01024292,8,2,8,5
E01024806,1,9,3,5
E01000197,8,2,9,7
E01001929,10,1,10,10
E01004270,10,1,10,10
E01030443,2,9,2,3
E01024677,7,2,6,3
E01000471,7,3,10,9
E01024071,8,7,6,8
E01000577,8,3,9,8
E01004450,9,4,10,10
E01015796,6,5,4,2
E01024040,2,8,6,4
E01002382,9,3,9,9
E01017986,6,5,4,2
E01015931,7,5,7,5
E01000118,8,2,6,5
E01001117,10,1,10,10
E01022062,1,10,5,8
E01002306,7,6,4,4
E01002199,7,2,9,6
E01002696,10,1,10,10
E01002127,8,1,8,6
E01000721,6,4,5,3
E01001438,9,6,9,10
E01029902,1,10,5,8
E01024193,7,8,5,7
E01000602,5,8,10,10
E01000689,5,8,5,5
E01030726,7,7,8,8
E01001038,7,5,5,4
E01023691,5,8,6,6
E01004524,9,2,10,10
E01002661,9,2,10,10
E01017980,6,6,8,6
E01021207,2,9,7,8
E01031641,3,7,5,2
E01001480,8,3,9,8
E01004500,9,2,7,7
E01004426,9,1,10,10
E01024172,3,6,9,6
E01000090,6,6,10,9
E01030233,3,6,8,5
E01018294,2,6,7,3
E01015847,10,1,9,10
E01030238,3,8,9,7
E01015926,4,3,8,2
E01023674,10,3,8,10
E01023576,6,6,6,4
E01030390,9,2,4,5
E01003843,8,5,7,5
E01031828,3,8,2,3
E01002332,9,3,9,9
E01032819,2,9,3,3
E01021997,9,7,10,10
E01003834,8,2,5,3
E01000831,7,5,8,7
E01002486,3,6,10,9
E01024385,8,6,6,6
E01002045,9,2,10,10
E01002869,9,2,10,10
E01003181,10,1,10,10
E01021583,8,6,9,9
E01002335,9,3,9,9
E01032786,10,1,10,10
E01002224,6,3,9,7
E01024803,2,10,2,7
E01031355,7,3,7,5
E01024719,2,8,8,6
E01000470,5,6,10,9
E01003055,10,1,10,10
E01000870,10,1,10,10
E01000137,9,2,9,9
E01017477,5,3,7,3
E01001393,9,2,10,9
E01003697,7,5,7,6
E01021156,9,4,2,4
E01003756,9,3,9,9
E01000347,9,3,7,8
E01003725,8,4,8,7
E01023895,7,6,7,6
E01001735,9,1,10,10
E01003137,9,1,10,10
E01001956,9,1,10,10
E01021961,4,6,6,3
E01000438,9,3,9,9
E01000008,8,4,10,9
E01023414,4,7,4,2
E01001420,6,3,6,3
E01023955,8,2,8,6
E01002334,6,5,5,3
E01021492,3,8,9,8
E01023714,8,7,7,8
E01002425,4,6,8,5
E01002390,8,3,8,7
E01030019,5,6,9,7
E01023606,9,3,5,6
E01002437,6,5,8,6
E01018120,1,8,7,5
E01024120,4,9,8,9
E01021039,8,2,3,3
E01023513,6,8,7,8
E01017436,3,9,7,8
E01004046,9,2,10,10
E01002308,7,6,5,5
E01018201,2,9,5,6
E01002369,6,7,9,9
E01024301,2,10,4,6
E01003036,10,1,10,10
E01002611,7,3,7,4
E01002986,6,5,8,6
E01016878,8,1,8,6
E01004360,8,4,8,7
E01024362,1,10,6,7
E01024467,4,6,3,2
E01000771,9,1,7,7
E01024731,4,8,3,2
E01015949,1,9,8,7
E01021471,2,9,3,5
E01030053,1,10,7,10
E01002779,10,1,10,10
E01016858,10,1,10,10
E01003385,9,2,10,10
E01002050,9,2,10,10
E01015869,8,4,10,10
E01024779,10,2,4,8
E01004416,8,4,9,8
E01001465,7,4,9,7
E01000126,6,5,8,5
E01030300,8,2,4,2
E01001552,9,3,9,9
E01004115,9,3,7,7
E01003211,9,2,10,9
E01021551,1,10,4,7
E01018113,1,10,6,8
E01030275,5,7,8,5
E01000503,8,4,10,9
E01030090,1,10,8,10
E01024711,6,4,6,3
E01021632,7,7,8,7
E01002914,10,1,10,10
E01024532,1,10,8,8
E01029990,9,1,10,10
E01031688,5,8,3,4
E01017425,2,10,5,7
E01023360,6,5,5,3
E01003008,6,1,4,1
E01021548,5,5,7,4
E01015779,5,6,8,5
E01015950,2,9,9,9
E01020932,8,3,3,3
E01024269,2,6,8,5
E01003503,10,1,10,10
E01000184,6,5,8,5
E01003927,10,1,10,10
E01002254,6,3,6,3
E01021160,8,5,2,3
E01004150,8,3,9,8
E01002876,9,1,10,10
E01003886,10,1,5,8
E01004109,4,6,4,2
E01023698,6,8,3,4
E01021728,2,8,4,3
E01030394,6,4,6,3
E01001423,9,1,9,8
E01002006,9,2,9,9
E01030152,2,10,2,5
E01023409,5,4,6,2
E01001842,10,1,10,10
E01001708,8,5,8,7
E01024725,2,5,7,2
E01000676,9,2,8,8
E01002276,6,8,3,6
E01001607,10,2,8,9
E01015856,10,2,10,10
E01002195,7,4,8,7
E01023968,3,7,6,4
E01004518,10,1,10,10
E01000346,8,4,7,6
E01024509,9,3,6,7
E01001632,10,1,9,10
E01030748,8,6,7,7
E01000929,10,1,10,10
E01001527,9,2,9,9
E01000784,6,4,7,4
E01021403,2,9,5,6
E01031756,5,3,3,1
E01024326,3,5,4,1
E01030580,5,7,6,5
E01026477,3,9,2,5
E01021978,1,10,8,10
E01002588,6,3,10,7
E01021486,3,4,8,3
E01002032,10,2,10,10
E01023382,7,3,4,2
E01021168,2,9,2,4
E01002017,10,1,10,10
E01022034,5,7,7,6
E01000271,8,4,6,5
E01021693,5,2,8,4
E01004384,9,4,7,8
E01016059,3,8,7,6
E01003493,10,1,10,10
E01001161,8,4,9,8
E01002573,10,1,10,10
E01002461,3,7,5,3
E01021680,4,3,7,2
E01022032,4,8,8,7
E01000669,9,1,6,6
E01003967,10,1,10,10
E01016099,2,6,6,2
E01000296,9,2,8,8
E01017434,7,6,5,5
E01015909,8,2,6,5
E01001652,9,1,9,8
E01003577,7,6,9,8
E01017470,9,2,5,5
E01001225,9,1,10,10
E01002231,8,4,8,7
E01018269,2,5,5,1
E01024013,2,10,4,7
E01030039,1,10,8,10
E01003478,10,1,9,9
E01004688,9,1,10,9
E01002362,9,1,7,6
E01001826,9,2,10,10
E01000846,9,1,10,10
E01021675,4,6,5,2
E01000486,7,3,9,7
E01002800,10,1,10,10
E01033494,10,2,10,10
E01033486,10,1,10,10
E01000672,7,4,6,4
E01016112,3,4,9,4
E01001783,10,1,10,10
E01015888,5,6,5,3
E01030989,6,5,3,2
E01024767,6,7,5,4
E01022080,5,8,7,6
E01030653,8,1,6,4
E01023311,4,7,9,7
E01001897,10,1,10,10
E01004487,9,1,10,10
E01024173,3,8,9,9
E01001642,9,2,9,8
E01030506,6,3,2,1
E01030307,7,4,4,3
E01002464,6,6,9,8
E01021046,5,9,3,5
E01002507,7,3,10,9
E01002715,10,1,10,10
E01003241,8,3,6,4
E01023988,1,10,2,8
E01024369,6,3,4,1
E01015858,5,2,10,7
E01003986,9,2,10,10
E01001099,7,5,4,4
E01017538,9,2,5,5
E01002105,9,1,9,9
E01004061,9,2,10,10
E01021375,2,10,7,9
E01018160,3,8,5,4
E01030147,8,8,8,9
E01001027,5,8,4,5
E01016074,3,9,9,9
E01000450,5,3,7,3
E01030532,8,2,3,2
E01003646,10,1,8,10
E01031634,1,10,3,7
E01021378,2,5,4,1
E01031347,8,4,8,7
E01001661,7,4,8,6
E01032765,9,3,9,10
E01016931,5,8,4,5
E01004387,7,3,8,5
E01004489,9,2,10,10
E01003549,9,2,10,10
E01024058,5,9,4,6
E01024316,4,7,6,4
E01002893,10,1,10,10
E01002871,10,1,10,10
E01024068,4,8,2,3
E01002110,6,2,7,3
E01002434,7,3,4,2
E01021334,6,4,5,2
E01000305,8,4,9,9
E01030614,8,4,5,4
E01021298,8,2,6,4
E01018292,2,8,5,3
E01030376,8,5,5,5
E01024498,7,6,5,5
E01001405,8,2,8,7
E01021337,3,8,8,7
E01024372,9,3,5,5
E01003753,8,3,9,8
E01001337,6,2,8,5
E01002669,8,3,10,9
E01000539,7,3,9,8
E01021866,3,7,5,3
E01002043,10,1,10,10
E01004722,9,1,10,10
E01004715,10,1,10,10
E01030523,2,7,3,1
E01001502,9,2,9,9
E01020951,8,4,6,6
E01004286,10,1,10,10
E01002839,10,1,10,10
E01017580,5,6,5,2
E01021006,6,3,2,1
E01004565,10,1,10,10
E01000970,10,1,10,10
E01002563,9,3,9,9
E01003808,9,1,8,8
E01001478,7,4,10,8
E01000362,10,4,8,9
E01021353,8,8,5,7
E01030727,7,6,9,8
E01001853,10,1,10,10
E01000877,10,1,10,10
E01030592,3,9,4,5
E01003226,10,2,9,10
E01021073,4,9,3,6
E01000502,7,3,10,9
E01024361,1,8,7,5
E01002385,3,9,7,7
E01001813,10,1,10,10
E01003953,10,1,10,10
E01003566,10,1,10,10
E01000874,10,1,10,10
E01004441,9,1,7,7
E01000908,8,1,9,7
E01024249,5,9,6,6
E01000802,9,3,8,9
E01017968,10,1,6,7
E01000293,9,1,6,7
E01000583,10,1,10,10
E01021577,8,5,9,8
E01024181,8,3,9,8
E01024189,4,8,7,7
E01024544,1,10,3,7
E01001218,8,3,8,7
E01016068,5,3,6,2
E01001231,7,2,9,7
E01015713,5,3,7,2
E01023989,1,10,2,7
E01004296,10,1,10,10
E01021849,4,4,6,2
E01002783,10,1,10,10
E01001747,10,1,10,10
E01003017,10,1,10,10
E01000038,8,1,6,5
E01002534,6,3,6,3
E01030693,6,4,4,2
E01033457,9,1,10,10
E01024846,6,5,3,2
E01021329,7,1,6,2
E01015705,10,1,6,7
E01003161,9,2,10,10
E01001910,10,1,10,10
E01002970,9,1,8,8
E01031343,8,2,7,5
E01001452,8,3,8,6
E01021292,9,2,6,7
E01020930,5,6,3,2
E01023506,2,10,6,8
E01030354,5,2,7,2
E01030130,7,9,8,9
E01004254,9,2,10,10
E01024354,6,7,5,5
E01021288,7,5,7,5
E01000425,5,5,8,5
E01024499,9,2,7,6
E01001140,8,2,8,6
E01000959,10,1,10,10
E01023872,9,3,7,8
E01033724,8,3,10,9
E01016962,3,8,4,4
E01021225,7,9,2,7
E01003689,10,1,9,10
E01029957,1,10,4,8
E01000761,7,5,4,3
E01024473,4,5,5,2
E01003216,9,1,9,9
E01002377,10,2,8,9
E01024147,8,4,7,5
E01020993,8,2,5,3
E01002339,7,4,8,5
E01003119,10,2,10,10
E01004285,9,1,10,10
E01004391,10,2,10,10
E01032783,7,2,10,9
E01024270,2,8,6,5
E01021921,1,10,7,8
E01001807,8,2,10,10
E01023658,7,9,5,8
E01031757,4,3,4,1
E01000516,9,1,8,8
E01024474,4,5,6,3
E01033450,6,6,6,5
E01002586,6,4,10,8
E01031590,5,7,4,4
E01003943,10,1,10,10
E01023697,9,5,3,5
E01031563,8,3,3,3
E01030144,6,9,5,8
E01001984,9,1,10,10
E01000616,9,2,10,10
E01003732,8,3,10,9
E01002023,9,1,8,8
E01002546,6,6,9,8
E01001364,9,3,10,9
E01001763,10,1,10,10
E01021475,10,6,7,9
E01030365,5,6,6,3
E01032775,7,2,10,9
E01021434,9,3,4,5
E01023842,8,4,4,3
E01003073,9,1,10,10
E01000290,4,7,5,3
E01000521,10,1,10,10
E01002847,9,1,10,10
E01016852,10,1,9,10
E01021974,1,10,7,8
E01033493,10,2,10,10
E01033453,1,10,5,9
E01017483,8,3,6,4
E01031459,5,3,3,1
E01030198,1,10,8,9
E01023523,5,7,5,3
E01015973,4,6,8,6
E01024829,5,3,2,1
E01004215,10,1,10,10
E01004153,6,3,9,6
E01023993,6,7,7,6
E01023306,7,7,3,5
E01003939,10,1,10,10
E01002956,4,7,4,3
E01024073,4,9,4,5
E01030560,8,4,3,3
E01016909,8,3,3,3
E01024471,9,2,2,3
E01004346,8,2,9,8
E01021889,3,6,5,2
E01001798,10,1,9,10
E01001171,7,3,8,5
E01004382,7,4,9,8
E01000404,9,5,10,10
E01031692,2,9,2,4
E01000679,9,3,7,6
E01024215,10,2,6,8
E01024010,1,10,2,8
E01021855,8,1,5,3
E01003522,10,2,10,10
E01002031,10,1,10,10
E01000925,10,1,10,10
E01031399,6,4,5,3
E01021967,2,10,5,7
E01004504,8,2,10,9
E01031627,4,8,2,3
E01000574,8,2,9,8
E01031662,5,7,5,4
E01023877,8,4,6,5
E01003623,9,2,10,9
E01021483,5,6,5,3
E01021668,4,2,7,2
E01003260,9,3,9,8
E01030169,6,7,10,9
E01030174,1,10,7,10
E01023567,7,8,7,8
E01004486,8,2,10,10
E01003548,10,1,10,10
E01001990,10,1,10,10
E01023580,9,2,6,6
E01002393,5,3,8,4
E01021812,3,9,5,6
E01001390,9,2,9,8
E01002095,10,1,10,10
E01002975,4,5,7,4
E01000096,5,6,10,9
E01021125,2,9,2,3
E01024844,8,2,2,2
E01024014,1,10,2,7
E01002212,7,1,10,8
E01023643,4,7,6,4
E01001714,9,2,10,10
E01031761,9,1,3,5
E01015821,10,1,9,9
E01016142,2,10,6,8
E01023393,6,3,4,2
E01001354,10,1,10,10
E01002763,10,1,10,10
E01021401,2,8,4,3
E01021339,4,7,8,6
E01002156,7,3,8,6
E01023945,6,3,4,1
E01002977,7,3,7,4
E01016118,9,2,9,8
E01023981,4,7,7,6
E01004372,10,1,10,10
E01023990,2,10,3,6
E01003890,9,4,6,6
E01000618,7,2,10,9
E01004126,7,1,7,3
E01017410,1,10,4,7
E01003004,6,4,8,6
E01016885,6,6,3,2
E01002569,9,3,9,9
E01004157,9,1,6,5
E01015964,6,6,9,8
E01003718,10,1,10,10
E01017006,8,3,7,4
E01021689,6,2,8,4
E01003752,8,3,9,8
E01026872,1,10,7,9
E01004675,10,1,10,10
E01024823,10,1,3,9
E01002051,10,1,10,10
E01024647,9,1,4,4
E01033053,1,10,6,8
E01002725,10,2,10,10
E01024523,4,9,4,5
E01029905,1,10,7,9
E01004750,10,1,10,10
E01017498,7,3,5,2
E01024503,7,7,4,4
E01002711,10,1,10,10
E01021297,9,3,6,6
E01031364,10,2,6,10
E01021595,2,8,5,4
E01021737,5,5,6,3
E01002329,7,2,9,7
E01002545,4,7,9,7
E01024596,4,9,10,10
E01002107,6,2,8,4
E01000084,10,1,9,9
E01023937,7,5,6,5
E01001542,10,2,8,9
E01024811,7,7,5,5
E01021433,10,2,5,8
E01001854,10,1,10,10
E01030022,9,2,10,10
E01001103,6,7,3,4
E01001566,10,1,9,10
E01022073,2,8,4,2
E01016928,6,7,3,3
E01001178,10,1,9,10
E01024371,8,4,4,4
E01004028,10,1,10,10
E01002895,10,1,10,10
E01002918,6,5,6,4
E01023600,3,8,7,5
E01000807,10,1,4,8
E01002474,5,3,4,1
E01030549,8,3,3,3
E01003486,7,1,9,7
E01004465,9,1,9,9
E01000303,7,5,8,7
E01003047,10,1,10,10
E01001896,10,1,10,10
E01003671,8,3,10,10
E01002211,7,2,9,7
E01002384,8,2,7,6
E01030183,2,6,5,1
E01024496,5,8,6,6
E01003244,9,1,10,10
E01023304,9,4,4,6
E01021427,3,8,9,7
E01001280,6,4,10,9
E01001701,7,5,8,6
E01021683,9,3,9,9
E01001549,9,2,8,7
E01001737,10,1,10,10
E01018033,8,5,6,6
E01001673,10,1,9,10
E01033458,9,1,5,6
E01002033,10,2,10,10
E01030301,5,7,4,3
E01004257,10,1,10,10
E01004168,7,1,9,6
E01000017,9,2,9,8
E01015975,4,6,9,6
E01003626,8,2,10,10
E01030098,1,10,5,9
E01015864,3,3,9,4
E01015776,6,5,6,4
E01024138,6,5,7,5
E01003922,10,1,10,10
E01001608,8,1,7,5
E01031608,10,2,5,7
E01030315,4,4,7,3
E01015734,7,4,5,3
E01004713,10,1,10,10
E01024095,9,4,6,6
E01017398,3,10,6,8
E01017532,5,6,4,2
E01001758,10,2,10,10
E01021089,2,9,3,5
E01003123,10,1,10,10
E01031763,5,4,3,1
E01024567,7,6,8,7
E01032820,4,8,7,6
E01002206,9,2,9,9
E01004403,9,3,9,9
E01032639,10,1,10,10
E01024802,10,1,3,6
E01002208,7,5,8,7
E01021311,4,4,7,3
E01023723,2,8,6,3
E01024324,6,6,8,6
E01024028,4,7,7,5
E01021964,7,3,8,5
E01000757,5,5,4,1
E01023607,5,6,6,3
E01032833,2,8,5,4
E01015735,9,2,5,6
E01024082,9,2,5,6
E01016087,9,1,8,7
E01004444,10,1,10,10
E01003846,7,2,8,5
E01000707,9,2,7,6
E01000662,8,3,4,4
E01024100,6,6,6,4
E01016995,9,2,9,9
E01033207,10,1,10,10
E01024521,5,7,5,4
E01018206,2,9,7,7
E01018039,2,10,8,9
E01015746,4,5,4,1
E01000620,9,1,10,10
E01002654,6,3,10,9
E01031388,3,8,4,3
E01021002,7,4,2,2
E01003353,7,2,6,4
E01021464,6,8,4,5
E01015768,6,4,6,3
E01003129,10,1,10,10
E01021554,3,8,6,4
E01002945,7,4,5,3
E01003065,9,4,9,9
E01030717,3,6,8,5
E01000195,4,7,5,3
E01032582,10,1,10,10
E01001942,10,1,10,10
E01016075,3,6,8,4
E01030722,3,9,9,8
E01021900,1,10,5,7
E01024227,7,9,3,8
E01002371,9,4,9,8
E01030573,5,6,3,2
E01021229,2,9,2,5
E01004472,10,1,10,10
E01024204,1,10,5,9
E01024266,4,5,7,3
E01024530,2,10,6,8
E01024522,5,4,5,1
E01000023,9,2,9,8
E01021578,8,2,7,5
E01004319,10,1,10,10
E01033600,10,2,10,10
E01031655,6,5,5,3
E01032825,3,9,3,4
E01023772,5,6,4,2
E01001554,10,1,10,10
E01004548,10,1,10,10
E01021867,3,7,5,3
E01024047,4,6,3,2
E01031570,8,6,6,6
E01017402,6,6,5,3
E01001923,10,1,10,10
E01002575,10,2,10,10
E01021691,4,2,6,1
E01029878,3,9,8,8
E01003861,9,3,6,6
E01023727,10,2,6,10
E01030681,5,7,6,5
E01000007,10,2,10,10
E01003527,9,3,10,10
E01017829,3,7,8,5
E01001349,7,5,8,7
E01024273,1,10,4,7
E01023441,9,3,4,6
E01004739,10,1,10,10
E01003185,10,1,10,10
E01001973,9,2,9,8
E01030050,1,10,8,9
E01004074,9,1,9,9
E01023735,5,7,7,5
E01003785,10,1,7,8
E01003494,10,2,10,10
E01032768,9,3,10,10
E01031673,4,9,3,4
E01001754,10,1,10,10
E01030165,10,1,9,10
E01001160,8,4,9,8
E01020964,9,2,3,4
E01004494,10,1,10,10
E01003930,10,1,10,10
E01021584,8,5,7,7
E01021251,2,7,5,2
E01023803,3,6,6,2
E01021638,4,6,4,2
E01030855,4,8,3,3
E01002594,6,3,8,5
E01016062,6,4,7,4
E01003736,9,1,10,9
E01023509,3,9,6,7
E01031704,7,6,3,3
E01002883,10,1,10,10
E01024314,7,3,8,5
E01030756,5,7,6,4
E01000591,10,1,8,9
E01004402,10,1,10,10
E01030031,5,7,8,7
E01000320,8,2,9,7
E01001945,10,1,10,10
E01000942,10,1,10,10
E01000915,10,1,10,10
E01003657,9,2,7,7
E01024716,7,6,7,6
E01000354,9,4,10,10
E01021641,4,5,3,1
E01003574,10,1,10,10
E01021253,5,5,7,4
E01001581,9,1,9,8
E01001571,10,2,8,9
E01002561,4,4,9,5
E01001599,7,2,7,4
E01003523,10,1,10,10
E01030831,4,7,3,3
E01021159,5,8,2,4
E01018190,9,3,3,4
E01023729,10,4,6,9
E01031407,5,8,3,4
E01031376,6,5,6,4
E01023884,6,4,6,3
E01004711,10,1,10,10
E01031559,4,7,3,2
E01002132,9,3,8,8
E01001392,8,2,9,7
E01024688,7,5,6,5
E01004686,10,1,10,10
E01003639,7,3,8,6
E01016949,10,1,7,9
E01024259,5,6,7,5
E01004535,10,1,10,10
E01003797,7,3,9,6
E01003372,9,2,10,9
E01017387,6,7,4,5
E01030509,9,2,5,4
E01017543,1,10,6,9
E01003296,9,2,10,10
E01029913,8,7,8,9
E01002782,10,1,10,10
E01024684,8,2,7,5
E01004539,10,1,10,10
E01023693,6,8,6,7
E01023601,10,2,5,9
E01024593,5,9,9,9
E01015946,2,8,9,8
E01002344,5,8,8,8
E01021033,5,7,2,2
E01023457,6,8,4,5
E01018173,5,7,5,5
E01018041,1,10,8,10
E01024275,1,9,3,5
E01004693,10,1,10,10
E01031426,2,9,2,5
E01002752,10,1,10,10
E01004593,10,1,10,10
E01033539,5,10,6,9
E01023813,3,9,5,6
E01016145,2,8,5,3
E01021841,4,4,5,1
E01030041,1,10,6,8
E01030026,7,2,10,9
E01001312,9,1,8,8
E01004302,10,1,10,10
E01021456,4,9,6,7
E01000592,10,1,9,9
E01017445,2,10,5,6
E01002166,8,2,9,8
E01001410,5,6,6,4
E01001287,8,2,8,6
E01001879,10,1,10,10
E01004089,4,3,5,1
E01030108,5,5,6,3
E01001791,9,1,9,8
E01000171,10,1,7,9
E01030554,3,8,4,3
E01001863,10,1,10,10
E01001315,8,3,9,9
E01000864,10,3,10,10
E01030093,8,8,8,9
E01003152,8,3,10,10
E01001253,9,2,9,9
E01002743,9,2,10,10
E01030155,3,8,5,5
E01000578,9,1,10,10
E01021506,2,8,8,7
E01001102,7,6,3,3
E01003515,8,3,10,9
E01001609,9,1,7,8
E01023807,2,9,4,5
E01001085,9,1,9,9
E01033582,5,7,10,10
E01001375,8,1,10,9
E01001285,9,1,9,9
E01000888,9,1,9,9
E01000920,10,1,10,10
E01002281,7,4,4,2
E01002476,6,5,5,2
E01000285,6,3,7,3
E01021199,1,10,3,6
E01021992,2,10,8,9
E01016036,6,4,9,6
E01003027,9,2,10,10
E01002894,10,1,10,10
E01001902,10,1,10,10
E01001461,7,3,9,7
E01004342,9,2,9,10
E01000351,7,7,7,7
E01000724,5,4,5,2
E01033485,10,1,10,10
E01003670,10,1,9,10
E01018008,10,1,7,8
E01000926,10,1,10,10
E01020911,10,1,5,9
E01030338,6,4,7,4
E01020985,10,2,8,10
E01021061,3,5,5,2
E01021085,3,8,2,2
E01004662,10,1,10,10
E01030569,2,10,3,6
E01021532,3,8,5,4
E01021582,10,2,9,10
E01024373,9,2,6,5
E01001343,6,2,8,3
E01001938,9,2,10,10
