lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01019278,2,9,2,4
E01018786,5,5,3,1
E01029258,1,8,3,2
E01015161,2,7,3,1
E01018972,4,4,2,1
W01001302,1,8,2,2
E01019909,4,7,3,3
W01000781,4,8,4,4
W01000705,5,8,4,5
W01000640,5,7,2,3
E01018942,1,10,2,6
W01000539,1,10,1,9
E01020165,2,8,2,2
E01015123,5,4,5,1
E01015111,7,9,4,7
E01018979,2,10,7,9
E01020110,2,9,2,3
E01020334,3,5,2,1
E01029325,1,10,1,8
E01020285,7,8,3,5
W01000667,5,9,3,5
W01001195,4,6,4,2
W01001435,8,5,7,7
W01001503,5,6,4,2
W01000272,1,10,2,7
E01019171,10,1,8,10
E01015193,7,4,6,4
E01020111,9,3,1,3
W01001743,3,7,7,4
W01001416,2,9,10,10
W01001095,4,2,7,2
W01000914,4,7,6,5
E01007186,5,6,5,3
E01015064,5,4,7,4
W01001265,2,7,2,1
W01000893,1,10,1,5
E01020159,1,10,2,6
E01020014,5,1,3,1
E01018989,2,10,1,7
E01007199,7,4,3,3
E01020035,3,8,2,2
W01000949,2,9,4,4
E01015167,7,5,9,8
W01001786,7,4,8,5
W01000268,3,7,3,2
W01001462,5,8,7,6
W01000658,1,9,2,3
W01001795,5,6,6,4
E01018861,2,10,5,9
W01000908,4,9,2,5
W01000280,3,9,4,4
W01000697,1,6,3,1
E01015045,7,5,9,8
E01015178,9,1,10,10
W01000857,7,4,5,3
E01018889,3,6,8,5
E01015117,3,9,5,6
E01015126,4,4,6,2
E01019296,4,5,2,1
W01000233,7,7,3,4
W01001318,7,3,2,1
W01001200,6,4,5,2
W01001823,9,2,10,10
E01018863,2,10,4,7
E01018877,7,6,6,5
W01000176,7,6,1,3
W01001561,1,9,3,3
E01020249,3,7,3,2
E01020289,1,10,1,9
E01029330,6,5,3,2
W01000406,3,7,3,2
W01001127,1,10,3,8
W01000750,3,6,3,1
E01020286,1,10,1,9
W01000217,6,8,2,5
W01001028,9,3,6,6
E01019140,9,2,6,6
W01000760,5,9,4,6
E01029269,2,9,3,5
W01001236,8,7,5,6
W01000282,4,8,5,4
E01018809,10,1,4,9
E01018860,8,7,7,7
W01001348,7,7,9,9
W01001419,2,9,3,5
E01018904,1,10,1,5
W01001309,3,7,5,2
E01020142,1,10,2,8
E01019899,1,9,3,5
E01015127,2,8,4,4
E01020020,9,1,3,4
E01029110,7,5,8,6
E01015229,10,2,4,7
W01000779,3,8,3,2
E01019091,1,10,2,7
W01000635,3,8,4,4
E01029278,2,9,3,4
E01018893,3,7,7,5
E01019187,5,8,3,3
W01001497,6,3,5,2
E01015128,3,7,5,3
E01020327,2,8,1,1
W01001331,4,3,8,3
E01019274,9,2,2,4
E01018774,1,10,1,6
W01001790,8,4,8,7
W01000843,5,7,4,3
E01019156,9,2,7,8
W01001106,2,6,5,1
W01000292,8,5,4,4
E01015040,6,5,9,8
E01033294,1,10,3,6
W01001387,3,9,5,5
W01001821,8,3,9,8
E01015203,7,6,4,4
W01000248,1,10,2,7
W01001105,2,9,5,7
E01015217,10,3,4,8
E01018937,3,7,1,2
W01000324,4,9,3,4
E01019291,6,6,2,2
W01000644,3,9,2,5
W01000626,6,3,3,1
E01015132,4,6,6,4
W01000471,1,10,1,9
W01000021,1,10,2,8
W01001484,1,8,7,5
E01019912,9,2,2,3
W01000594,5,6,10,9
E01019037,1,10,1,5
W01001136,3,9,6,6
W01001114,5,7,5,4
W01001063,10,1,8,9
W01001052,7,7,6,6
W01001081,4,3,9,5
E01007266,7,4,3,2
E01015023,3,6,5,2
W01001279,8,5,9,9
E01020012,3,6,2,1
W01001271,3,7,2,1
E01018759,1,10,1,8
E01018911,10,2,8,9
W01001146,2,8,3,2
W01000564,1,10,3,7
W01000087,2,10,1,8
E01020115,3,8,1,3
W01000590,3,8,10,10
W01000982,9,3,6,7
E01020047,3,9,1,5
E01029302,8,2,4,2
W01001129,4,5,8,5
W01001803,7,4,8,6
W01000622,1,10,3,8
W01000241,10,2,4,7
W01001299,3,5,4,1
W01001893,4,5,3,1
W01000789,6,4,7,4
W01000968,4,8,9,8
E01020098,1,10,1,9
W01001445,2,8,7,6
E01015049,9,2,8,8
W01001447,7,7,4,6
W01001030,5,9,5,6
W01000666,3,7,5,3
E01007250,7,2,4,1
W01001047,7,4,4,3
W01000464,1,10,1,9
E01015148,4,7,6,3
W01000916,5,8,3,3
E01020229,2,9,2,5
W01000682,1,10,1,8
W01000576,1,10,2,7
W01000659,5,7,3,3
W01001863,7,4,8,6
W01001461,7,6,7,6
E01007125,8,3,5,4
W01000148,2,8,2,2
W01001493,4,6,4,2
E01020175,1,10,2,8
E01018864,1,10,4,9
W01001018,10,5,5,9
E01006991,5,9,7,8
E01007309,7,5,4,4
W01001892,8,5,9,9
E01020250,4,8,4,3
W01001092,4,5,6,2
E01020109,1,10,2,8
E01007251,6,1,3,1
W01000716,1,9,2,4
E01018962,1,10,2,9
W01001397,3,6,8,4
W01001914,1,8,6,5
W01001771,8,1,8,6
E01015222,5,6,2,1
E01019923,6,7,3,3
W01000986,2,9,3,5
E01018918,3,9,5,7
E01015094,3,3,3,1
E01019930,3,9,2,5
E01019256,2,10,2,6
E01019261,3,9,1,4
W01001812,4,7,7,5
E01019113,6,6,2,2
E01007120,3,8,4,4
W01001383,5,6,4,2
W01000125,1,10,2,6
W01001538,3,7,5,3
E01020282,9,7,2,6
W01001354,2,7,3,1
W01001246,3,7,7,5
W01001192,2,8,8,7
W01001367,3,5,3,1
W01000451,1,10,2,9
W01000770,4,8,4,4
E01018855,4,6,3,1
E01029122,2,10,3,7
E01015269,7,4,2,2
W01001099,5,5,6,3
W01000822,5,6,4,2
E01019123,3,9,3,4
E01020295,1,10,1,8
W01001340,4,6,6,3
E01020336,2,8,1,2
E01019977,9,4,3,4
W01000202,1,10,1,7
W01000820,3,5,6,2
E01019089,2,10,2,7
W01001919,5,7,5,3
E01019177,7,6,5,4
E01018952,1,10,2,7
E01015244,4,8,2,3
W01000317,7,4,6,4
W01000706,5,6,5,3
E01019915,5,5,2,1
E01020161,3,4,2,1
E01020315,1,9,1,4
W01000229,5,9,3,5
W01000765,6,2,7,3
W01000030,5,8,3,4
W01001887,9,3,7,7
W01001782,6,5,8,6
W01000648,1,10,1,9
E01020319,1,10,1,8
W01001386,1,9,9,9
W01000006,1,10,2,8
W01000092,7,6,2,3
W01001188,2,3,6,1
W01000592,2,9,10,10
W01000829,1,7,3,1
W01001524,5,4,3,1
E01019117,9,4,2,4
E01007206,7,4,4,2
E01015030,3,3,4,1
E01019962,1,10,3,8
E01018978,3,9,4,6
E01015078,5,4,8,5
E01019010,5,7,1,2
W01001425,9,4,4,5
W01000290,9,3,3,4
W01000109,5,9,2,5
E01019393,4,8,2,4
E01020256,2,9,2,5
E01020149,2,9,2,5
W01001338,6,5,4,2
W01000660,6,7,6,5
E01020064,1,9,4,5
W01001438,4,8,5,4
W01000679,1,9,1,2
E01028907,9,3,4,6
W01000650,1,10,1,9
W01001015,6,9,5,8
W01000480,3,8,1,2
E01020339,1,10,1,8
E01018810,9,2,4,4
E01029308,3,8,4,3
W01001008,5,8,6,6
E01020199,2,9,1,4
W01001144,2,9,3,6
W01000612,1,10,2,5
W01000507,1,10,2,9
E01019163,5,6,7,4
E01020093,2,4,2,1
E01019055,1,10,5,7
W01001002,4,8,6,6
W01000529,1,10,1,9
E01007281,7,6,4,3
W01001290,2,9,8,8
W01001426,6,8,5,6
E01015207,4,6,2,1
E01018836,3,5,6,2
